时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-18T08:39:14.788Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.0571,-0.9302,1.1494,-274.41,-40.71,-203.31,2.11,-3.28,-156.07,0.098938,-0.030792,-0.039124,-0.993805
"2025-04-18T08:39:14.891Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.2534,-0.3062,-0.5112,-264.53,418.15,68.79,-120.07,66.68,-26.29,-0.514587,0.642303,-0.431915,-0.368744
"2025-04-18T08:39:14.982Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.2451,0.6025,0.7476,-53.16,177.67,-246.52,12.50,9.43,-85.22,0.654114,0.118744,0.009369,-0.746887
"2025-04-18T08:39:14.993Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",1.1782,0.9014,0.5151,-343.20,491.88,-614.01,16.89,5.45,-29.18,0.861450,-0.025757,0.156830,-0.482239
"2025-04-18T08:39:15.195Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.1992,-0.4253,0.7686,98.75,138.37,75.62,7.78,-4.07,10.89,0.993896,0.070465,-0.029785,0.078766
"2025-04-18T08:39:15.091Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.5356,0.3325,0.8047,-0.43,-0.06,2.87,18.56,27.80,2.17,0.958099,0.152710,0.241333,-0.020020
"2025-04-18T08:39:15.580Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",0.0083,0.5186,1.3994,128.60,140.69,-345.21,-2.79,-0.18,-102.91,0.596008,0.024139,-0.002319,-0.802551
"2025-04-18T08:39:15.692Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.9790,-0.2378,0.9810,28.50,-113.83,176.51,11.06,0.89,13.77,0.993378,0.053955,0.029266,0.096741
"2025-04-18T08:39:15.788Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",0.4058,-0.2588,-0.8223,117.07,-241.76,85.02,-143.17,-15.89,-31.42,-0.265594,0.916382,-0.212372,0.210968
"2025-04-18T08:39:15.694Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-0.7603,0.3340,0.5435,66.89,125.92,-40.95,32.94,52.43,6.58,0.847656,0.248962,0.459442,-0.091278
